SUB_YEAR_WEEK,SUB_YEAR_WEEK_target,call_ALL_target,call_Burglary_target,WEEK,MONTH,YEAR,call_ALL,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,call_Armed subject,call_Assault,call_Burglar alarm,call_Burglary,call_Disturbance,call_Domestic,call_FW FIREWORKS,call_Fight,call_Loitering,call_Message delivery,call_Noise complaint,call_Possible drugs present,call_Prowler,call_Public Intoxication,call_Shots fired,call_Special residence patrol,call_Special watch,call_Stalking,call_Suspicious activity,call_Trespassing,call_Vandalism,call_Welfare check,disp_15-ARREST,disp_66-CANCEL,disp_9-VERBAL,disp_ADV-ADVICE GIVEN,disp_AST-ASSIST,disp_CI-CITY CITATION,disp_CLR-CLEARED BY DISPATCH,disp_CM-CIVIL MATTER,disp_COMP,disp_DISR,disp_Disregard,disp_Domestic Violence Report,disp_FA-FALSE ALARM,disp_FD-FOUNDED ALARM,disp_FI-FIELD INTERVIEW,disp_Gone on Arrival,disp_IRT Report,disp_K9 Report,disp_MC-STATE MISD CITATION,disp_MDT-BOLO'D MDT,disp_MSG-MESSAGE DELIVERED,disp_N25-NO CONTACT,disp_NR-NO REPORT,disp_Other,disp_PR-PROPERTY RETURNED,disp_RES-RESOLVED,disp_RF-REPORT FILED,disp_Runaway juvenile (entered NCIC),disp_SAT-SETTLED AMONG SELVES,disp_TES-TEST,disp_TI -TOW IN,disp_Truancy,disp_VA Hospital Alarm (Fire)
2009_3_ZONE4B,2009_4_ZONE4B,4,0,3,1,2009,8,2,0,1,2,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2009_3_ZONE5C,2009_4_ZONE5C,11,2,3,1,2009,4,1,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009_3_ZONE3C,2009_4_ZONE3C,5,0,3,1,2009,7,3,0,2,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0
2009_3_ZONE3D,2009_4_ZONE3D,5,2,3,1,2009,8,2,0,4,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
2009_3_ZONE7C,2009_4_ZONE7C,5,0,3,1,2009,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2009_4_ZONE2D,2009_5_ZONE2D,1,0,4,1,2009,5,1,1,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2009_4_ZONE1A,2009_5_ZONE1A,17,1,4,1,2009,23,3,3,1,4,4,2,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,0,0,0,1,2,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,3,5,0,0,3,2,0,0,0,0,0,0
2009_4_ZONE3E,2009_5_ZONE3E,80,13,4,1,2009,87,15,4,11,19,13,6,7,75,0,0,0,0,0,0,0,0,0,0,0,0,3,7,15,4,10,0,1,0,0,16,1,1,2,0,0,0,0,6,4,2,3,0,0,0,0,0,1,0,1,0,0,0,6,7,0,0,0,0,0,0,0,0,9,28,1,0,9,13,0,0,0,0,0,0
2009_4_ZONE6C,2009_5_ZONE6C,14,2,4,1,2009,39,4,4,8,3,3,6,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,3,0,0,0,1,2,0,0,1,0,0,0,0,5,0,1,5,0,0,0,0,0,1,0,1,0,0,0,2,17,0,0,1,0,0,0,0,0,4,8,0,0,1,2,0,0,0,0,0,0
2009_4_ZONE5C,2009_5_ZONE5C,12,4,4,1,2009,11,1,1,0,2,5,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,2,1,0,0,3,0,0,0,0,0,0
