Subzone,YEAR_WEEK,SUB_YEAR_WEEK,All_comp,FalseAlarm_comp,Arrest_comp,Cleared_comp,NoContact_comp,NoReport_comp,Resolved_comp,Filed_comp,Calls_comp,BurgAlarm_comp,Suspicious_comp,Shots_comp,Intox_comp,Drugs_comp,Assault_comp,Armed_comp,Disturb_comp,Fireworks_comp,Noise_comp,Stalking_comp,PredictedBurg,ActualBurg,BurgStatus,BurgStatus2
ZONE3C,2009_13,2009_13_ZONE3C,96,30,0,0,24,0,6,24,108,18,24,0,0,0,0,6,6,0,18,0,2,2,1,1
ZONE3D,2009_13,2009_13_ZONE3D,119,7,0,0,14,35,7,14,140,7,7,0,0,0,7,0,28,0,28,0,5,1,1,0
ZONE3E,2009_13,2009_13_ZONE3E,468,30,30,6,90,120,42,102,474,108,48,0,0,0,0,0,24,0,108,0,5,7,1,1
ZONE4B,2009_13,2009_13_ZONE4B,6,0,1,0,0,1,2,0,6,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
ZONE4C,2009_13,2009_13_ZONE4C,104,44,4,0,4,4,24,12,104,8,16,0,0,0,0,4,0,0,0,0,0,0,0,0
ZONE5A,2009_13,2009_13_ZONE5A,110,5,10,0,20,15,10,30,120,25,5,0,5,5,0,0,15,0,45,0,1,0,0,0
ZONE5B,2009_13,2009_13_ZONE5B,180,18,6,0,24,48,18,42,192,30,18,0,6,12,0,0,36,0,30,0,2,2,1,1
ZONE5C,2009_13,2009_13_ZONE5C,60,5,0,0,25,10,10,5,65,0,15,5,0,0,0,0,0,0,5,5,3,0,0,0
ZONE5D,2009_13,2009_13_ZONE5D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE6A,2009_13,2009_13_ZONE6A,24,18,0,0,2,2,0,2,24,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ZONE6B,2009_13,2009_13_ZONE6B,51,18,0,6,9,12,0,6,51,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0
ZONE6C,2009_13,2009_13_ZONE6C,328,112,16,0,16,40,40,32,360,16,16,0,8,24,0,0,16,0,24,0,1,1,1,0
ZONE7B,2009_13,2009_13_ZONE7B,74,10,0,2,10,16,16,10,76,4,8,0,0,0,2,0,12,0,18,0,1,1,1,0
